Date,Series,Venue,Toss_Winner,Toss_Decision,1st_Inn_Runs,1st_Inn_Wkts,2nd_Inn_Runs,2nd_Inn_Wkts,3rd_Inn_Runs,3rd_Inn_Wkts,4th_Inn_Runs,4th_Inn_Wkts,Result,POM,Format,Search_Field,Toss_Enc,Venue_Enc
25/02/19,ICC CT (v PAK),National Stadium (Karachi),New Zealand,Bat,302,6,242,10,0,0,0,0,NZ (60 runs),Glenn Phillips,ODI,ICC CT (V PAK) NEW ZEALAND NZ (60 RUNS),13,78
25/02/24,ICC CT (v BAN),Rawalpindi Cricket Stadium,New Zealand,Bowl,242,8,245,5,0,0,0,0,NZ (5 wkts),Daryl Mitchell,ODI,ICC CT (V BAN) NEW ZEALAND NZ (5 WKTS),13,100
25/03/02,ICC CT (v IND),Dubai International Cricket Stadium,India,Bat,291,6,247,10,0,0,0,0,IND (44 runs),KL Rahul,ODI,ICC CT (V IND) INDIA IND (44 RUNS),6,30
25/03/05,ICC CT Semi Final,Gaddafi Stadium,New Zealand,Bat,278,8,228,10,0,0,0,0,NZ (50 runs),Rachin Ravindra,ODI,ICC CT SEMI FINAL NEW ZEALAND NZ (50 RUNS),13,36
25/03/09,ICC CT Final,Dubai International Cricket Stadium,New Zealand,Bat,224,10,225,6,0,0,0,0,IND (4 wkts),Mohammed Shami,ODI,ICC CT FINAL NEW ZEALAND IND (4 WKTS),13,30
25/03/29,NZ v PAK,McLean Park,Pakistan,Bowl,315,4,242,10,0,0,0,0,NZ (73 runs),Devon Conway,ODI,NZ V PAK PAKISTAN NZ (73 RUNS),15,69
25/04/02,NZ v PAK,Seddon Park,New Zealand,Bat,338,5,254,10,0,0,0,0,NZ (84 runs),Daryl Mitchell,ODI,NZ V PAK NEW ZEALAND NZ (84 RUNS),13,109
25/04/05,NZ v PAK,Bay Oval,Pakistan,Bowl,289,6,246,10,0,0,0,0,NZ (43 runs),Lockie Ferguson,ODI,NZ V PAK PAKISTAN NZ (43 RUNS),15,11
25/10/26,NZ v ENG,Bay Oval,New Zealand,Bowl,238,10,242,6,0,0,0,0,NZ (4 wkts),Rachin Ravindra,ODI,NZ V ENG NEW ZEALAND NZ (4 WKTS),13,11
25/10/29,NZ v ENG,Seddon Park,New Zealand,Bowl,212,10,213,5,0,0,0,0,NZ (5 wkts),Glenn Phillips,ODI,NZ V ENG NEW ZEALAND NZ (5 WKTS),13,109
25/11/01,NZ v ENG,Sky Stadium,England,Bat,265,8,266,8,0,0,0,0,NZ (2 wkts),Mitchell Santner,ODI,NZ V ENG ENGLAND NZ (2 WKTS),4,123
25/11/16,NZ v WI,Hagley Oval,West Indies,Bowl,241,9,234,10,0,0,0,0,NZ (7 runs),Matt Henry,ODI,NZ V WI WEST INDIES NZ (7 RUNS),25,45
25/11/19,NZ v WI,McLean Park,West Indies,Bat,208,10,210,5,0,0,0,0,NZ (5 wkts),Ish Sodhi,ODI,NZ V WI WEST INDIES NZ (5 WKTS),25,69
25/11/22,NZ v WI,Seddon Park,New Zealand,Bowl,256,8,258,6,0,0,0,0,NZ (4 wkts),Will Young,ODI,NZ V WI NEW ZEALAND NZ (4 WKTS),13,109
26/01/11,IND v NZ,Kotambi Stadium,India,Bowl,300,8,306,6,0,0,0,0,IND (4 wkts),Rishabh Pant,ODI,IND V NZ INDIA IND (4 WKTS),6,57
26/01/14,IND v NZ,Saurashtra Cricket Association Stadium,New Zealand,Bat,284,7,286,3,0,0,0,0,NZ (7 wkts*),Rachin Ravindra,ODI,IND V NZ NEW ZEALAND NZ (7 WKTS*),13,107
26/01/18,IND v NZ,Holkar Cricket Stadium,New Zealand,Bat,337,8,296,10,0,0,0,0,NZ (41 runs),Mitchell Santner,ODI,IND V NZ NEW ZEALAND NZ (41 RUNS),13,49
26/04/17,BAN v NZ,Shere Bangla National Stadium,New Zealand,Bat,275,7,249,10,0,0,0,0,NZ (26 runs),Kane Williamson,ODI,BAN V NZ NEW ZEALAND NZ (26 RUNS),13,115
26/04/20,BAN v NZ,Shere Bangla National Stadium,Bangladesh,Bowl,224,10,228,4,0,0,0,0,BAN (6 wkts),Mehidy Hasan,ODI,BAN V NZ BANGLADESH BAN (6 WKTS),2,115
26/04/23,BAN v NZ,Bir Sreshtho FL Matiur Rahman Stadium,Bangladesh,Bat,291,6,236,10,0,0,0,0,BAN (55 runs),Litton Das,ODI,BAN V NZ BANGLADESH BAN (55 RUNS),2,13
24/11/04,AUS v PAK,Melbourne Cricket Ground,Australia,Bowl,203,10,204,8,0,0,0,0,AUS (2 wkts),Mitchell Starc,ODI,AUS V PAK AUSTRALIA AUS (2 WKTS),1,70
24/11/08,AUS v PAK,Adelaide Oval,Pakistan,Bowl,163,10,169,1,0,0,0,0,PAK (9 wkts),Haris Rauf,ODI,AUS V PAK PAKISTAN PAK (9 WKTS),15,2
24/11/10,AUS v PAK,Perth Stadium,Pakistan,Bowl,140,10,143,2,0,0,0,0,PAK (8 wkts),Haris Rauf,ODI,AUS V PAK PAKISTAN PAK (8 WKTS),15,87
24/11/24,ZIM v PAK,Queens Sports Club,Pakistan,Bowl,205,10,125,10,0,0,0,0,ZIM (80 runs*),Richard Ngarava,ODI,ZIM V PAK PAKISTAN ZIM (80 RUNS*),15,91
24/11/26,ZIM v PAK,Queens Sports Club,Pakistan,Bowl,145,10,148,0,0,0,0,0,PAK (10 wkts),Saim Ayub,ODI,ZIM V PAK PAKISTAN PAK (10 WKTS),15,91
24/11/28,ZIM v PAK,Queens Sports Club,Pakistan,Bat,259,7,160,10,0,0,0,0,PAK (99 runs),Abdullah Shafique,ODI,ZIM V PAK PAKISTAN PAK (99 RUNS),15,91
24/12/17,SA v PAK,Boland Park,Pakistan,Bowl,235,9,239,7,0,0,0,0,PAK (3 wkts),Babar Azam,ODI,SA V PAK PAKISTAN PAK (3 WKTS),15,14
24/12/19,SA v PAK,Newlands,Pakistan,Bat,288,6,207,10,0,0,0,0,PAK (81 runs),Mohammad Rizwan,ODI,SA V PAK PAKISTAN PAK (81 RUNS),15,79
24/12/22,SA v PAK,Wanderers Stadium,Pakistan,Bat,275,8,239,10,0,0,0,0,PAK (36 runs),Naseem Shah,ODI,SA V PAK PAKISTAN PAK (36 RUNS),15,140
25/02/08,PAK Tri-Series,Gaddafi Stadium,New Zealand,Bat,282,7,204,10,0,0,0,0,NZ (78 runs),Kane Williamson,ODI,PAK TRI-SERIES NEW ZEALAND NZ (78 RUNS),13,36
25/02/12,PAK Tri-Series,National Stadium (Karachi),Pakistan,Bowl,192,10,193,4,0,0,0,0,PAK (6 wkts),Shaheen Afridi,ODI,PAK TRI-SERIES PAKISTAN PAK (6 WKTS),15,78
25/02/14,PAK Tri-Series,National Stadium (Karachi),Pakistan,Bat,234,10,235,5,0,0,0,0,NZ (5 wkts),Tom Latham,ODI,PAK TRI-SERIES PAKISTAN NZ (5 WKTS),15,78
25/02/19,ICC CT (v NZ),National Stadium (Karachi),New Zealand,Bat,302,6,242,10,0,0,0,0,NZ (60 runs),Glenn Phillips,ODI,ICC CT (V NZ) NEW ZEALAND NZ (60 RUNS),13,78
25/02/23,ICC CT (v IND),Dubai Intl Stadium,Pakistan,Bat,262,8,263,4,0,0,0,0,IND (6 wkts),Ravindra Jadeja,ODI,ICC CT (V IND) PAKISTAN IND (6 WKTS),15,31
25/03/29,NZ v PAK,McLean Park,Pakistan,Bowl,315,4,242,10,0,0,0,0,NZ (73 runs),Devon Conway,ODI,NZ V PAK PAKISTAN NZ (73 RUNS),15,69
25/04/02,NZ v PAK,Seddon Park,New Zealand,Bat,338,5,254,10,0,0,0,0,NZ (84 runs),Daryl Mitchell,ODI,NZ V PAK NEW ZEALAND NZ (84 RUNS),13,109
25/04/05,NZ v PAK,Bay Oval,Pakistan,Bowl,289,6,246,10,0,0,0,0,NZ (43 runs),Lockie Ferguson,ODI,NZ V PAK PAKISTAN NZ (43 RUNS),15,11
25/08/08,WI v PAK,Brian Lara Stadium,Pakistan,Bowl,218,10,222,5,0,0,0,0,PAK (5 wkts),Babar Azam,ODI,WI V PAK PAKISTAN PAK (5 WKTS),15,16
25/08/10,WI v PAK,Brian Lara Stadium,West Indies,Bowl,234,8,238,5,0,0,0,0,WI (5 wkts),Nicholas Pooran,ODI,WI V PAK WEST INDIES WI (5 WKTS),25,16
25/08/12,WI v PAK,Brian Lara Stadium,West Indies,Bat,352,4,150,10,0,0,0,0,WI (202 runs),Shai Hope,ODI,WI V PAK WEST INDIES WI (202 RUNS),25,16
25/11/04,PAK v SA,Iqbal Stadium,Pakistan,Bowl,228,9,232,8,0,0,0,0,PAK (2 wkts),Mohammad Rizwan,ODI,PAK V SA PAKISTAN PAK (2 WKTS),15,50
25/11/06,PAK v SA,Iqbal Stadium,South Africa,Bowl,185,10,188,2,0,0,0,0,SA (8 wkts),Kagiso Rabada,ODI,PAK V SA SOUTH AFRICA SA (8 WKTS),20,50
25/11/08,PAK v SA,Iqbal Stadium,South Africa,Bat,245,10,248,3,0,0,0,0,PAK (7 wkts),Fakhar Zaman,ODI,PAK V SA SOUTH AFRICA PAK (7 WKTS),20,50
25/11/11,PAK v SL,Rawalpindi Stadium,Sri Lanka,Bowl,299,5,293,9,0,0,0,0,PAK (6 runs),Salman Agha,ODI,PAK V SL SRI LANKA PAK (6 RUNS),21,101
25/11/14,PAK v SL,Rawalpindi Stadium,Sri Lanka,Bowl,240,10,242,2,0,0,0,0,PAK (8 wkts),Babar Azam,ODI,PAK V SL SRI LANKA PAK (8 WKTS),21,101
25/11/16,PAK v SL,Rawalpindi Stadium,Pakistan,Bowl,278,8,280,4,0,0,0,0,PAK (6 wkts),Mohammad Rizwan,ODI,PAK V SL PAKISTAN PAK (6 WKTS),15,101
26/03/11,BAN v PAK,Shere Bangla Stadium,Pakistan,Bat,114,10,115,2,0,0,0,0,BAN (8 wkts),Mustafizur Rahman,ODI,BAN V PAK PAKISTAN BAN (8 WKTS),15,117
26/03/13,BAN v PAK,Shere Bangla Stadium,Bangladesh,Bowl,312,6,184,10,0,0,0,0,PAK (128 runs),Babar Azam,ODI,BAN V PAK BANGLADESH PAK (128 RUNS),2,117
26/03/15,BAN v PAK,Shere Bangla Stadium,Bangladesh,Bat,268,9,257,10,0,0,0,0,BAN (11 runs),Shakib Al Hasan,ODI,BAN V PAK BANGLADESH BAN (11 RUNS),2,117
24/09/18,AFG v SA,Sharjah Cricket Stadium,South Africa,Bat,106,10,107,4,0,0,0,0,AFG (6 wkts),Fazalhaq Farooqi,ODI,AFG V SA SOUTH AFRICA AFG (6 WKTS),20,112
24/09/20,AFG v SA,Sharjah Cricket Stadium,Afghanistan,Bat,311,4,134,10,0,0,0,0,AFG (177 runs),Rashid Khan,ODI,AFG V SA AFGHANISTAN AFG (177 RUNS),0,112
24/09/22,AFG v SA,Sharjah Cricket Stadium,Afghanistan,Bat,169,10,170,3,0,0,0,0,SA (7 wkts),Rahmanullah Gurbaz,ODI,AFG V SA AFGHANISTAN SA (7 WKTS),0,112
24/10/02,IRE v SA,Sheikh Zayed Stadium,South Africa,Bat,271,9,132,10,0,0,0,0,SA (139 runs),Ryan Rickelton,ODI,IRE V SA SOUTH AFRICA SA (139 RUNS),20,114
24/10/04,IRE v SA,Sheikh Zayed Stadium,South Africa,Bat,343,4,169,9,0,0,0,0,SA (174 runs),Tristan Stubbs,ODI,IRE V SA SOUTH AFRICA SA (174 RUNS),20,114
24/10/07,IRE v SA,Sheikh Zayed Stadium,Ireland,Bat,284,9,215,10,0,0,0,0,IRE (69 runs),Paul Stirling,ODI,IRE V SA IRELAND IRE (69 RUNS),7,114
24/12/17,SA v PAK,Boland Park,Pakistan,Bowl,235,9,239,7,0,0,0,0,PAK (3 wkts),Babar Azam,ODI,SA V PAK PAKISTAN PAK (3 WKTS),15,14
24/12/19,SA v PAK,Newlands,Pakistan,Bat,288,6,207,10,0,0,0,0,PAK (81 runs),Mohammad Rizwan,ODI,SA V PAK PAKISTAN PAK (81 RUNS),15,79
24/12/22,SA v PAK,Wanderers Stadium,Pakistan,Bat,275,8,239,10,0,0,0,0,PAK (36 runs),Naseem Shah,ODI,SA V PAK PAKISTAN PAK (36 RUNS),15,140
25/02/10,PAK Tri-Series,Gaddafi Stadium,South Africa,Bat,210,9,211,4,0,0,0,0,NZ (6 wkts),Mitchell Santner,ODI,PAK TRI-SERIES SOUTH AFRICA NZ (6 WKTS),20,36
25/02/12,PAK Tri-Series,National Stadium (Karachi),Pakistan,Bowl,192,10,193,4,0,0,0,0,PAK (6 wkts),Shaheen Afridi,ODI,PAK TRI-SERIES PAKISTAN PAK (6 WKTS),15,78
25/02/21,ICC CT (v AFG),National Stadium (Karachi),South Africa,Bowl,181,10,288,5,0,0,0,0,SA (107 runs),Quinton de Kock,ODI,ICC CT (V AFG) SOUTH AFRICA SA (107 RUNS),20,78
25/03/01,ICC CT (v ENG),National Stadium (Karachi),South Africa,Bowl,220,10,221,3,0,0,0,0,SA (7 wkts),Heinrich Klaasen,ODI,ICC CT (V ENG) SOUTH AFRICA SA (7 WKTS),20,78
25/03/05,ICC CT Semi Final,Gaddafi Stadium,New Zealand,Bat,278,8,228,10,0,0,0,0,NZ (50 runs),Rachin Ravindra,ODI,ICC CT SEMI FINAL NEW ZEALAND NZ (50 RUNS),13,36
25/08/18,AUS v SA,Cazaly's Stadium,Australia,Bowl,296,8,198,10,0,0,0,0,SA (98 runs),Keshav Maharaj,ODI,AUS V SA AUSTRALIA SA (98 RUNS),1,20
25/08/22,AUS v SA,Harrup Park,South Africa,Bat,265,7,181,10,0,0,0,0,SA (84 runs),Quinton de Kock,ODI,AUS V SA SOUTH AFRICA SA (84 RUNS),20,47
25/08/24,AUS v SA,Harrup Park,Australia,Bat,382,4,106,10,0,0,0,0,AUS (276 runs),Marnus Labuschagne,ODI,AUS V SA AUSTRALIA AUS (276 RUNS),1,47
25/09/02,ENG v SA,Headingley,South Africa,Bowl,244,10,248,3,0,0,0,0,SA (7 wkts),David Miller,ODI,ENG V SA SOUTH AFRICA SA (7 WKTS),20,48
25/09/04,ENG v SA,Lord's Cricket Ground,England,Bat,285,8,280,10,0,0,0,0,SA (5 runs),Kagiso Rabada,ODI,ENG V SA ENGLAND SA (5 RUNS),4,59
25/09/07,ENG v SA,The Rose Bowl,South Africa,Bowl,422,5,80,10,0,0,0,0,ENG (342 runs),Harry Brook,ODI,ENG V SA SOUTH AFRICA ENG (342 RUNS),20,132
25/11/04,PAK v SA,Iqbal Stadium,Pakistan,Bowl,228,9,232,8,0,0,0,0,PAK (2 wkts),Mohammad Rizwan,ODI,PAK V SA PAKISTAN PAK (2 WKTS),15,50
25/11/06,PAK v SA,Iqbal Stadium,South Africa,Bowl,185,10,188,2,0,0,0,0,SA (8 wkts),Kagiso Rabada,ODI,PAK V SA SOUTH AFRICA SA (8 WKTS),20,50
25/11/08,PAK v SA,Iqbal Stadium,South Africa,Bat,245,10,248,3,0,0,0,0,PAK (7 wkts),Fakhar Zaman,ODI,PAK V SA SOUTH AFRICA PAK (7 WKTS),20,50
25/11/30,IND v SA,JSCA Intl Stadium Complex,India,Bat,285,6,268,10,0,0,0,0,IND (17 runs),Hardik Pandya,ODI,IND V SA INDIA IND (17 RUNS),6,51
25/12/03,IND v SA,Shaheed Veer Narayan Singh Stadium,South Africa,Bowl,214,10,215,6,0,0,0,0,SA (4 wkts),David Miller,ODI,IND V SA SOUTH AFRICA SA (4 WKTS),20,110
25/12/06,IND v SA,Dr YS Rajasekhara Reddy Stadium,India,Bowl,182,10,185,1,0,0,0,0,IND (9 wkts),Kuldeep Yadav,ODI,IND V SA INDIA IND (9 WKTS),6,28
,,,,,0,0,0,0,0,0,0,0,,,ODI,,27,147
,,,,,0,0,0,0,0,0,0,0,,,ODI,,27,147
,,,,,0,0,0,0,0,0,0,0,,,ODI,,27,147
24/01/06,SL v ZIM,R. Premadasa International Cricket Stadium,Zimbabwe,Bat,273,9,37,0,0,0,0,0,No Result,,ODI,SL V ZIM ZIMBABWE NO RESULT,26,93
24/01/08,SL v ZIM,R. Premadasa International Cricket Stadium,Zimbabwe,Bat,208,10,211,0,0,0,0,0,SL (2 wkts),Janith Liyanage,ODI,SL V ZIM ZIMBABWE SL (2 WKTS),26,93
24/01/11,SL v ZIM,R. Premadasa International Cricket Stadium,Zimbabwe,Bat,96,10,97,0,0,0,0,0,SL (8 wkts),W. Hasaranga,ODI,SL V ZIM ZIMBABWE SL (8 WKTS),26,93
24/02/09,SL v AFG,Pallekele International Cricket Stadium,Afghanistan,Bowl,381,3,339,0,0,0,0,0,SL (42 runs),P. Nissanka,ODI,SL V AFG AFGHANISTAN SL (42 RUNS),0,83
24/02/11,SL v AFG,Pallekele International Cricket Stadium,Sri Lanka,Bat,308,6,153,0,0,0,0,0,SL (155 runs),W. Hasaranga,ODI,SL V AFG SRI LANKA SL (155 RUNS),21,83
24/02/14,SL v AFG,Pallekele International Cricket Stadium,Afghanistan,Bat,266,10,267,0,0,0,0,0,SL (7 wkts),P. Nissanka,ODI,SL V AFG AFGHANISTAN SL (7 WKTS),0,83
24/03/13,BAN v SL,Zahur Ahmed Chowdhury Stadium,Sri Lanka,Bat,255,10,257,0,0,0,0,0,BAN (6 wkts),Najmul Shanto,ODI,BAN V SL SRI LANKA BAN (6 WKTS),21,145
24/03/15,BAN v SL,Zahur Ahmed Chowdhury Stadium,Bangladesh,Bowl,286,7,287,0,0,0,0,0,SL (3 wkts),P. Nissanka,ODI,BAN V SL BANGLADESH SL (3 WKTS),2,145
24/03/18,BAN v SL,Zahur Ahmed Chowdhury Stadium,Sri Lanka,Bat,235,10,237,0,0,0,0,0,BAN (4 wkts),Rishad Hossain,ODI,BAN V SL SRI LANKA BAN (4 WKTS),21,145
24/08/02,SL v IND,R. Premadasa International Cricket Stadium,Sri Lanka,Bat,230,8,230,0,0,0,0,0,Match Tied,D. Wellalage,ODI,SL V IND SRI LANKA MATCH TIED,21,93
24/08/04,SL v IND,R. Premadasa International Cricket Stadium,Sri Lanka,Bat,240,9,208,0,0,0,0,0,SL (32 runs),J. Vandersay,ODI,SL V IND SRI LANKA SL (32 RUNS),21,93
24/08/07,SL v IND,R. Premadasa International Cricket Stadium,Sri Lanka,Bat,248,7,138,0,0,0,0,0,SL (110 runs),D. Wellalage,ODI,SL V IND SRI LANKA SL (110 RUNS),21,93
24/10/20,SL v WI,Pallekele International Cricket Stadium,West Indies,Bat,185,4,234,0,0,0,0,0,SL (5 wkts),C. Asalanka,ODI,SL V WI WEST INDIES SL (5 WKTS),25,83
24/10/23,SL v WI,Pallekele International Cricket Stadium,Sri Lanka,Bowl,189,10,190,0,0,0,0,0,SL (5 wkts),M. Theekshana,ODI,SL V WI SRI LANKA SL (5 WKTS),21,83
24/10/26,SL v WI,Pallekele International Cricket Stadium,West Indies,Bat,263,8,202,0,0,0,0,0,WI (8 wkts),Evin Lewis,ODI,SL V WI WEST INDIES WI (8 WKTS),25,83
24/11/13,SL v NZ,Rangiri Dambulla International Stadium,Sri Lanka,Bat,324,5,209,0,0,0,0,0,SL (45 runs),Kusal Mendis,ODI,SL V NZ SRI LANKA SL (45 RUNS),21,98
24/11/17,SL v NZ,Pallekele International Cricket Stadium,Sri Lanka,Bowl,209,10,210,0,0,0,0,0,SL (3 wkts),Kusal Mendis,ODI,SL V NZ SRI LANKA SL (3 WKTS),21,83
24/11/19,SL v NZ,Pallekele International Cricket Stadium,New Zealand,Bat,112,1,0,0,0,0,0,0,No Result,,ODI,SL V NZ NEW ZEALAND NO RESULT,13,83
25/01/05,NZ v SL,Basin Reserve,New Zealand,Bowl,178,10,180,0,0,0,0,0,NZ (9 wkts),Will Young,ODI,NZ V SL NEW ZEALAND NZ (9 WKTS),13,10
25/01/08,NZ v SL,Seddon Park,Sri Lanka,Bowl,255,9,142,0,0,0,0,0,NZ (113 runs),Matt Henry,ODI,NZ V SL SRI LANKA NZ (113 RUNS),21,109
25/01/11,NZ v SL,Eden Park,Sri Lanka,Bat,290,8,150,0,0,0,0,0,SL (140 runs),Asitha Fernando,ODI,NZ V SL SRI LANKA SL (140 RUNS),21,33
25/02/12,SL v AUS,R. Premadasa International Cricket Stadium,Sri Lanka,Bat,275,7,226,0,0,0,0,0,SL (49 runs),Kusal Mendis,ODI,SL V AUS SRI LANKA SL (49 RUNS),21,93
25/02/14,SL v AUS,R. Premadasa International Cricket Stadium,Sri Lanka,Bat,322,4,148,0,0,0,0,0,SL (174 runs),P. Nissanka,ODI,SL V AUS SRI LANKA SL (174 RUNS),21,93
25/07/02,SL v BAN,R. Premadasa International Cricket Stadium,Bangladesh,Bowl,244,10,167,0,0,0,0,0,SL (77 runs),Kusal Mendis,ODI,SL V BAN BANGLADESH SL (77 RUNS),2,93
25/07/05,SL v BAN,R. Premadasa International Cricket Stadium,Bangladesh,Bat,248,10,232,0,0,0,0,0,BAN (16 runs),Mehidy Hasan,ODI,SL V BAN BANGLADESH BAN (16 RUNS),2,93
25/07/08,SL v BAN,Pallekele International Cricket Stadium,Sri Lanka,Bat,285,7,186,0,0,0,0,0,SL (99 runs),Kusal Mendis,ODI,SL V BAN SRI LANKA SL (99 RUNS),21,83
25/08/29,ZIM v SL,Harare Sports Club,Sri Lanka,Bat,260,9,253,0,0,0,0,0,SL (7 runs),C. Asalanka,ODI,ZIM V SL SRI LANKA SL (7 RUNS),21,46
25/08/31,ZIM v SL,Harare Sports Club,Zimbabwe,Bat,212,10,215,0,0,0,0,0,SL (5 wkts),M. Theekshana,ODI,ZIM V SL ZIMBABWE SL (5 WKTS),26,46
25/11/11,PAK v SL,Rawalpindi Cricket Stadium,Sri Lanka,Bowl,299,5,293,0,0,0,0,0,PAK (6 runs),Salman Agha,ODI,PAK V SL SRI LANKA PAK (6 RUNS),21,100
25/11/14,PAK v SL,Rawalpindi Cricket Stadium,Sri Lanka,Bowl,240,10,242,0,0,0,0,0,PAK (8 wkts),Babar Azam,ODI,PAK V SL SRI LANKA PAK (8 WKTS),21,100
25/11/16,PAK v SL,Rawalpindi Cricket Stadium,Pakistan,Bowl,278,8,280,0,0,0,0,0,PAK (6 wkts),Rizwan,ODI,PAK V SL PAKISTAN PAK (6 WKTS),15,100
26/01/22,SL v ENG,R. Premadasa International Cricket Stadium,Sri Lanka,Bat,271,6,252,0,0,0,0,0,SL (19 runs),D. Wellalage,ODI,SL V ENG SRI LANKA SL (19 RUNS),21,93
26/01/24,SL v ENG,R. Premadasa International Cricket Stadium,Sri Lanka,Bat,210,10,214,0,0,0,0,0,ENG (5 wkts),Adil Rashid,ODI,SL V ENG SRI LANKA ENG (5 WKTS),21,93
26/01/27,SL v ENG,R. Premadasa International Cricket Stadium,England,Bat,305,7,252,0,0,0,0,0,ENG (53 runs),Jos Butler,ODI,SL V ENG ENGLAND ENG (53 RUNS),4,93
26/06/03,SL v WI,Sabina Park,West Indies,Bowl,303,7,262,10,0,0,0,0,SL (41 runs),Kusal Mendis,ODI,SL V WI WEST INDIES SL (41 RUNS),4,419
24/02/02,AUS v WI,Melbourne Cricket Ground,Australia,Bowl,231,10,232,2,0,0,0,0,AUS (8 wkts),Xavier Bartlett,ODI,AUS V WI AUSTRALIA AUS (8 WKTS),1,70
24/02/04,AUS v WI,Sydney Cricket Ground,West Indies,Bowl,258,9,175,10,0,0,0,0,AUS (83 runs),Sean Abbott,ODI,AUS V WI WEST INDIES AUS (83 RUNS),25,128
24/02/06,AUS v WI,Manuka Oval,Australia,Bowl,86,10,87,2,0,0,0,0,AUS (8 wkts),Xavier Bartlett,ODI,AUS V WI AUSTRALIA AUS (8 WKTS),1,66
24/10/20,SL v WI,Pallekele International Stadium,West Indies,Bat,185,4,234,5,0,0,0,0,SL (5 wkts),Charith Asalanka,ODI,SL V WI WEST INDIES SL (5 WKTS),25,84
24/10/23,SL v WI,Pallekele International Stadium,Sri Lanka,Bowl,189,10,190,5,0,0,0,0,SL (5 wkts),Maheesh Theekshana,ODI,SL V WI SRI LANKA SL (5 WKTS),21,84
24/10/26,SL v WI,Pallekele International Stadium,West Indies,Bat,263,8,202,5,0,0,0,0,WI (8 wkts*),Evin Lewis,ODI,SL V WI WEST INDIES WI (8 WKTS*),25,84
24/10/31,WI v ENG,Sir Vivian Richards Stadium,West Indies,Bowl,209,10,210,2,0,0,0,0,WI (8 wkts),Gudakesh Motie,ODI,WI V ENG WEST INDIES WI (8 WKTS),25,122
24/11/02,WI v ENG,Sir Vivian Richards Stadium,England,Bowl,328,6,329,5,0,0,0,0,ENG (5 wkts),Liam Livingstone,ODI,WI V ENG ENGLAND ENG (5 WKTS),4,122
24/11/06,WI v ENG,Kensington Oval,West Indies,Bowl,263,8,267,2,0,0,0,0,WI (8 wkts),Brandon King,ODI,WI V ENG WEST INDIES WI (8 WKTS),25,55
24/12/08,WI v BAN,Warner Park,Bangladesh,Bowl,251,10,252,5,0,0,0,0,WI (5 wkts),Shai Hope,ODI,WI V BAN BANGLADESH WI (5 WKTS),2,142
24/12/10,WI v BAN,Warner Park,West Indies,Bat,280,6,212,10,0,0,0,0,WI (7 wkts),Brandon King,ODI,WI V BAN WEST INDIES WI (7 WKTS),25,142
24/12/12,WI v BAN,Warner Park,Bangladesh,Bowl,210,10,211,6,0,0,0,0,WI (4 wkts),Alzarri Joseph,ODI,WI V BAN BANGLADESH WI (4 WKTS),2,142
25/05/21,IRE v WI,Castle Avenue,Ireland,Bat,302,7,178,10,0,0,0,0,IRE (124 runs),Harry Tector,ODI,IRE V WI IRELAND IRE (124 RUNS),7,19
25/05/23,IRE v WI,Castle Avenue,West Indies,Bowl,48,2,0,0,0,0,0,0,No Result,,ODI,IRE V WI WEST INDIES NO RESULT,25,19
25/05/25,IRE v WI,Castle Avenue,West Indies,Bat,341,5,144,10,0,0,0,0,WI (197 runs),Shai Hope,ODI,IRE V WI WEST INDIES WI (197 RUNS),25,19
25/05/29,ENG v WI,Edgbaston,West Indies,Bowl,362,4,124,10,0,0,0,0,ENG (238 runs),Jos Buttler,ODI,ENG V WI WEST INDIES ENG (238 RUNS),25,34
25/06/01,ENG v WI,Sophia Gardens,England,Bowl,215,10,216,7,0,0,0,0,ENG (3 wkts),Adil Rashid,ODI,ENG V WI ENGLAND ENG (3 WKTS),4,124
25/06/03,ENG v WI,Kennington Oval,England,Bowl,192,10,193,3,0,0,0,0,ENG (7 wkts),Jofra Archer,ODI,ENG V WI ENGLAND ENG (7 WKTS),4,54
25/08/08,WI v PAK,Brian Lara Stadium,Pakistan,Bowl,218,10,222,5,0,0,0,0,PAK (5 wkts),Babar Azam,ODI,WI V PAK PAKISTAN PAK (5 WKTS),15,16
25/08/10,WI v PAK,Brian Lara Stadium,West Indies,Bowl,234,8,238,5,0,0,0,0,WI (5 wkts),Nicholas Pooran,ODI,WI V PAK WEST INDIES WI (5 WKTS),25,16
25/08/12,WI v PAK,Brian Lara Stadium,West Indies,Bat,352,4,150,10,0,0,0,0,WI (202 runs),Shai Hope,ODI,WI V PAK WEST INDIES WI (202 RUNS),25,16
25/10/18,BAN v WI,Shere Bangla National Stadium,Bangladesh,Bat,288,6,214,10,0,0,0,0,BAN (74 runs),Mushfiqur Rahim,ODI,BAN V WI BANGLADESH BAN (74 RUNS),2,115
25/10/21,BAN v WI,Shere Bangla National Stadium,West Indies,Bowl,240,8,240,10,0,0,0,0,WI (Super Over),Nicholas Pooran,ODI,BAN V WI WEST INDIES WI (SUPER OVER),25,115
25/10/23,BAN v WI,Shere Bangla National Stadium,Bangladesh,Bat,342,5,163,10,0,0,0,0,BAN (179 runs),Towhid Hridoy,ODI,BAN V WI BANGLADESH BAN (179 RUNS),2,115
25/11/16,NZ v WI,Hagley Oval,West Indies,Bowl,241,9,234,10,0,0,0,0,NZ (7 runs),Matt Henry,ODI,NZ V WI WEST INDIES NZ (7 RUNS),25,45
